url,course_name,rating
https://www.coursera.org/learn/opportunity-management-in-salesforce-es,Administración de oportunidades en Salesforce,
https://www.coursera.org/projects/administration-cloud-foundry-scale-web-application,Administration with Cloud Foundry: Scale a Web Application,
https://www.coursera.org/projects/adobe-dreamweaver-for-beginners-user-centric-web-design,Adobe Dreamweaver for Beginners: User Centric Web Design,
https://www.coursera.org/projects/adobe-illustrator-for-beginners-create-vector-artwork,Adobe Illustrator for Beginners: Create Vector Artwork,
https://www.coursera.org/projects/introduction-to-captivate-make-scored-assessment,Adobe Captivate for Beginners:  Make a Scored Assessment,
https://www.coursera.org/projects/adobe-illustrator-for-beginners-creative-brand-system,Adobe Illustrator for Beginners: Creative Brand System,
https://www.coursera.org/projects/adobe-for-beginners-workshop-flyer-design,Adobe Indesign for Beginners: Workshop Flyer Design,
https://www.coursera.org/projects/advanced-net-with-tpl-and-plinq-conducting-performance-boost,Advanced .NET with TPL & PLINQ: Conducting Performance Boost,
https://www.coursera.org/learn/packt-advanced-3d-printing-with-fusion-360-design-your-phone-case-r7euo,Advanced 3D Printing with Fusion 360: Design Your Phone Case,
https://www.coursera.org/learn/advanced-ai-and-machine-learning-techniques-and-capstone,Advanced AI and Machine Learning Techniques and Capstone,
https://www.coursera.org/learn/packt-advanced-agile-practices-and-continuous-improvement-hwsd6,Advanced Agile Practices and Continuous Improvement,
https://www.coursera.org/learn/packt-advanced-ajax-techniques-and-final-projects-nk2au,Advanced AJAX Techniques and Final Projects,
https://www.coursera.org/learn/advanced-angular-development,Advanced Angular Development,
https://www.coursera.org/learn/advanced-analytics-with-power-bi,Advanced Analytics with Power BI,
https://www.coursera.org/learn/advanced-angular-topics,Advanced Angular Topics,
https://www.coursera.org/learn/aada-capstone,Advanced App Development in Android Capstone,
https://www.coursera.org/learn/security-administration-with-cdo-course-3,Advanced Applications of CDO in Enterprise Security Admin,
https://www.coursera.org/learn/packt-advanced-automation-frameworks-and-continuous-integration-u32cp,Advanced Automation Frameworks and Continuous Integration,
https://www.coursera.org/learn/packt-advanced-asset-manipulation-and-environment-detailing-in-ue5-6iosj,Advanced Asset Manipulation and Environment Detailing in UE5,
https://www.coursera.org/learn/advanced-capstone-spacecraft-dynamics-control-project,Advanced Capstone Spacecraft Dynamics and Control Project,
https://www.coursera.org/learn/packt-advanced-asset-creation-and-unreal-engine-integration-2ekzg,Advanced Asset Creation and Unreal Engine Integration,
https://www.coursera.org/learn/packt-advanced-blender-techniques-for-realistic-vegetation-aahs5,Advanced Blender Techniques for Realistic Vegetation,
https://www.coursera.org/learn/packt-advanced-cnns-transfer-learning-and-recurrent-networks-dj6vt,"Advanced CNNs, Transfer Learning, and Recurrent Networks",
https://www.coursera.org/learn/packt-advanced-automation-frameworks-and-testing-with-testng-tgoar,Advanced Automation Frameworks and Testing with TestNG,
https://www.coursera.org/learn/advanced-blockchain-architecture,Advanced Blockchain Architectures,
https://www.coursera.org/learn/packt-advanced-chatbots-with-deep-learning-and-python-xmshb,Advanced Chatbots with Deep Learning and Python,
https://www.coursera.org/learn/advanced-concepts-in-react-native-development,Advanced Concepts in React Native Development,
https://www.coursera.org/learn/packt-advanced-cloud-management-and-aws-fundamentals-blfyq,Advanced Cloud Management and AWS Fundamentals,
https://www.coursera.org/learn/advanced-communication-strategies,Advanced Communication Strategies,
https://www.coursera.org/learn/advanced-cybersecurity-risk-management,Advanced Cybersecurity Risk Management,
https://www.coursera.org/learn/advanced-data-analysis-and-collaboration-in-qlik-sense,Advanced Data Analysis and Collaboration in Qlik Sense ,
https://www.coursera.org/learn/advanced-data-analysis-and-visualization-with-copilot-in-excel,Advanced Data Analysis & Visualization with Copilot in Excel,
https://www.coursera.org/learn/packt-advanced-data-analysis-and-visualization-with-pandas-ofifg,Advanced Data Analysis and Visualization with Pandas,
https://www.coursera.org/learn/advanced-cybersecurity-topics,Advanced Cybersecurity Topics,
https://www.coursera.org/learn/advanced-data-analysis-with-generative-ai,Advanced Data Analysis with Generative AI,
https://www.coursera.org/learn/advanced-data-engineering,Advanced Data Engineering,
https://www.coursera.org/learn/advanced-deep-learning-techniques-computer-vision,Advanced Deep Learning Techniques for Computer Vision,
https://www.coursera.org/learn/packt-advanced-devops-tools-and-practices-tgusu,Advanced DevOps Tools and Practices,
https://www.coursera.org/learn/docker-certified-associate-advanced-docker,Advanced Docker,
https://www.coursera.org/learn/packt-advanced-elasticsearch-operations-and-cloud-deployment-5zi5b,Advanced Elasticsearch Operations and Cloud Deployment,
https://www.coursera.org/learn/packt-advanced-features-and-deployment-szmrn,Advanced Features and Deployment,
https://www.coursera.org/learn/packt-advanced-exploitation-and-scripting-techniques-edpee,Advanced Exploitation and Scripting Techniques,
https://www.coursera.org/learn/packt-advanced-full-stack-development-and-swiftui-basics-y6a51,Advanced Full Stack Development and SwiftUI Basics,
https://www.coursera.org/learn/packt-advanced-game-projects-c-sharp-scripting-and-social-features-s6gxs,"Advanced Game Projects, C# Scripting, and Social Features",
https://www.coursera.org/learn/packt-advanced-game-development-and-unity-basics-vrxyj,Advanced Game Development and Unity Basics,
https://www.coursera.org/learn/packt-advanced-frontend-development-and-deployment-l9mi4,Advanced Frontend Development and Deployment,
https://www.coursera.org/learn/packt-advanced-framework-development-and-integration-uzbwb,Advanced Framework Development and Integration,
https://www.coursera.org/learn/packt-advanced-horror-gameplay-and-inventory-systems-ksmev,Advanced Horror Gameplay and Inventory Systems,
https://www.coursera.org/learn/packt-advanced-git-and-github-practices-tgusu,Advanced Git and GitHub Practices,
https://www.coursera.org/learn/packt-advanced-incident-handling-and-analysis-techniques-2omvn,Advanced Incident Handling and Analysis Techniques,
https://www.coursera.org/learn/advanced-information-literacy,Advanced Information Literacy,
https://www.coursera.org/learn/advanced-golang-concepts,Advanced Golang Concepts,
https://www.coursera.org/learn/advanced-iot-systems-and-industrial-applications-course-3,Advanced IoT Systems Integration and Industrial Applications,
https://www.coursera.org/learn/advanced-java-certification-course,Advanced Java,
https://www.coursera.org/learn/advanced-javascript-3-objects-collections-functions,"Advanced JavaScript 3: Objects, Collections, Functions",
https://www.coursera.org/learn/advanced-javascript-2-async-js-apis-operators-objects,"Advanced JavaScript 2: Async JS, APIs, Operators, Objects",
https://www.coursera.org/learn/packt-advanced-java-concepts-and-collections-e66rj,Advanced Java Concepts and Collections,
